Updated 09/18/25 at 06:03pm,Position Rank,Position,Team,Value,Age,Rookie,SFPosition Rank,SFValue,RdrftPosition Rank,RdrftValue
Mike Evans,WR36,WR,TBB,4683,32.1,No,WR36,3732,,0
Alvin Kamara,RB23,RB,NOS,4638,30.2,No,RB23,3703,,0
Zach Charbonnet,RB24,RB,SEA,4594,24.7,No,RB25,3625,,0
Cam Ward,QB14,QB,TEN,4514,23.3,Yes,QB15,5237,,0
Javonte Williams,RB25,RB,DAL,4465,25.4,No,RB24,3672,,0
Kyler Murray,QB15,QB,ARI,4435,28.1,No,QB17,5028,,0
Harold Fannin,TE8,TE,CLE,4434.99,21.2,Yes,TE8,3728,,0
Davante Adams,WR37,WR,LAR,4386,32.7,No,WR37,3541,,0
Bhayshul Tuten,RB26,RB,JAC,4352,22.6,Yes,RB28,3393,,0
Trey Benson,RB27,RB,ARI,4351,23.2,No,RB29,3379,,0
J.J. McCarthy,QB16,QB,MIN,4338,22.7,No,QB18,4933,,0
Cam Skattebo,RB28,RB,NYG,4326,23.6,Yes,RB27,3466,,0
Brock Purdy,QB17,QB,SFO,4308,25.7,No,QB16,5215,,0
Jordan Mason,RB29,RB,MIN,4291,26.3,No,RB26,3478,,0
2026 Early 2nd,,PI,,4263,,,,3420,,0
Jakobi Meyers,WR38,WR,LVR,4248,28.8,No,WR38,3435,,0
Jerry Jeudy,WR39,WR,CLE,4246,26.4,No,WR39,3392.99,,0
Michael Penix Jr.,QB18,QB,ATL,4238,25.4,No,QB14,5248,,0
Jaylen Warren,RB30,RB,PIT,4229,26.9,No,RB30,3327,,0
Michael Pittman,WR40,WR,IND,4228,28.0,No,WR40,3378.99,,0
D'Andre Swift,RB31,RB,CHI,4176,26.7,No,RB31,3310,,0
David Montgomery,RB32,RB,DET,4156,28.3,No,RB33,3247,,0
Josh Downs,WR41,WR,IND,4131,24.1,No,WR45,3250,,0
James Conner,RB33,RB,ARI,4109,30.4,No,RB32,3252,,0
Luther Burden,WR42,WR,CHI,4108,21.8,Yes,WR46,3231,,0
Kyle Pitts,TE9,TE,ATL,4095,25.0,No,TE9,3352,,0
2027 Early 2nd,,PI,,4093,,,,3388,,0
Deebo Samuel,WR43,WR,WAS,4083,29.7,No,WR42,3287,,0
T.J. Hockenson,TE10,TE,MIN,4077,28.2,No,TE10,3280,,0
Tyreek Hill,WR44,WR,MIA,4068,31.6,No,WR44,3255,,0
Kaleb Johnson,RB34,RB,PIT,4065,22.1,Yes,RB36,3178,,0
Jayden Higgins,WR45,WR,HOU,4054,22.8,Yes,WR47,3203,,0
Tony Pollard,RB35,RB,TEN,4038,28.4,No,RB34,3209,,0
Dylan Sampson,RB36,RB,CLE,3969,21.0,Yes,RB35,3199,,0
Quentin Johnston,WR46,WR,LAC,3956,24.0,No,WR41,3360,,0
Khalil Shakir,WR47,WR,BUF,3911,25.6,No,WR50,3085,,0
Jayden Reed,WR48,WR,GBP,3902,25.4,No,WR49,3118,,0
Brandon Aiyuk,WR49,WR,SFO,3882,27.5,No,WR48,3188,,0
Dak Prescott,QB19,QB,DAL,3873,32.1,No,QB19,4690,,0
